id,channel_id,name,handle,niche,subscribers,video_count,total_views,avg_views_per_video,engagement_rate_pct,cipher_score,country,language,growth_momentum,thirty_day_engagement_pct,sixty_day_engagement_pct,ninety_day_engagement_pct,trailing_velocity_views,monthly_subscriber_growth,sentiment_index,estimated_cpm_usd,estimated_cpv_usd,rate_60s_integration_usd,rate_dedicated_video_usd,rate_short_reel_usd,rate_series_usd,brand_safety_score,sponsored_retention_rate_pct,sponsored_saturation_pct,primary_cohort_summary,top_country_1,top_country_1_pct,top_country_2,top_country_2_pct,primary_age_group,primary_age_group_pct,gender_male_pct,gender_female_pct,buying_power_index,niche_cluster_overlap_pct,top_overlap_peers,on_time_delivery_rate_pct,avg_production_days,completed_deals_count,dispute_rate_pct,availability_status,next_open_quarter
creator-mkbhd,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,@mkbhd,Tech & AI,18400000,1680,4120000000,2850000,5.4,98,United States,English,Accelerating,5.49,5.16,5.15,2762496,440037,97,38.5,0.032,85000,175000,45000,350000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,54,United Kingdom,12,25-34,48,78,20,Ultra Luxury,38.4,"Cleo Abram (42% overlap, 2.9x affinity) | Jeff Delaney (Fireship) (27% overlap, 2.4x affinity) | Dave Lee (Dave2D) (45% overlap, 3.1x affinity)",99.2,16,142,0,Limited Slots,Q3 2026
creator-cleo-abram,UCcleo-abram-huge-if-true,Cleo Abram,@cleoabram,Tech & AI,2850000,220,380000000,1650000,8.8,99,United States,English,Accelerating,9.25,8.71,8.32,1885493,130511,95,42,0.035,48000,110000,24000,225000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,56,United Kingdom,14,25-34,50,60,38,Ultra Luxury,38.4,"Marques Brownlee (40% overlap, 2.7x affinity) | Jeff Delaney (Fireship) (28% overlap, 2.4x affinity) | Dave Lee (Dave2D) (48% overlap, 2.9x affinity)",100,18,52,0,Available,Q2 2026
creator-fireship,UCsBjURrPoezykLs9EqgamOA,Jeff Delaney (Fireship),@fireship,SaaS & Productivity,3350000,650,490000000,880000,9.6,98,United States,English,Accelerating,9.51,9.28,9.2,973431,132727,96,48,0.042,36000,85000,19000,160000,99,93.5,16,25-34 Demographics with Very High Purchasing Power in United States,United States,46,Germany,14,25-34,54,88,10,Very High,38.4,"Marques Brownlee (27% overlap, 2.3x affinity) | Cleo Abram (31% overlap, 2.6x affinity) | Dave Lee (Dave2D) (34% overlap, 2.7x affinity)",100,5,94,0,Available,Q2 2026
creator-dave2d,UCVYamHliCI9rw1tHR1xbkfw,Dave Lee (Dave2D),@dave2d,Tech & AI,3680000,490,680000000,1400000,6.2,97,Canada,English,Plateau,6.12,5.89,5.95,1289693,85498,96,39,0.034,42000,98000,22000,195000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Canada,United States,52,Canada,18,25-34,52,82,16,Ultra Luxury,38.4,"Marques Brownlee (45% overlap, 2.8x affinity) | Cleo Abram (58% overlap, 3.5x affinity) | Jeff Delaney (Fireship) (37% overlap, 2.8x affinity)",98.8,12,78,0,Limited Slots,Q3 2026
creator-aliabdaal,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,@aliabdaal,Wealth & Finance,5400000,720,520000000,620000,6.8,97,United Kingdom,English,Accelerating,6.93,6.69,6.31,557260,190655,95,55,0.045,45000,95000,24000,190000,99,93.5,16,25-34 Demographics with Very High Purchasing Power in United Kingdom,United States,38,United Kingdom,28,25-34,52,64,34,Very High,38.4,"Marques Brownlee (25% overlap, 2.4x affinity) | Cleo Abram (30% overlap, 2.3x affinity) | Jeff Delaney (Fireship) (30% overlap, 2.3x affinity)",98.4,14,88,0,Available,Q2 2026
creator-graham-stephan,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,@grahamstephan,Wealth & Finance,4650000,880,740000000,580000,7.1,96,United States,English,Plateau,7.11,6.81,7.09,530289,204309,97,65,0.058,48000,105000,22000,210000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,68,Canada,14,25-34,52,78,20,Ultra Luxury,38.4,"Marques Brownlee (22% overlap, 2.1x affinity) | Cleo Abram (28% overlap, 2.3x affinity) | Jeff Delaney (Fireship) (30% overlap, 2.2x affinity)",99,7,112,0,Available,Q2 2026
creator-codie-sanchez,UCcodie-sanchez-contrarian,Codie Sanchez,@codiesanchez,Wealth & Finance,1450000,380,190000000,460000,8.2,98,United States,English,Accelerating,8.44,7.9,7.54,487262,54668,91,58,0.052,32000,75000,17000,145000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,72,Canada,12,25-34,48,70,28,Ultra Luxury,38.4,"Marques Brownlee (18% overlap, 2x affinity) | Cleo Abram (23% overlap, 2.1x affinity) | Jeff Delaney (Fireship) (25% overlap, 2.3x affinity)",100,10,64,0,Available,Q2 2026
creator-tim-dessaint,UCtim-dessaint-minimal-style,Tim Dessaint,@timdessaint,Luxury & Fashion,1280000,260,140000000,420000,8.4,97,France / United Kingdom,English,Plateau,8.26,8.04,8.39,447426,46862,96,52,0.048,24000,58000,14000,120000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in France / United Kingdom,United States,34,United Kingdom,22,25-34,56,82,16,Ultra Luxury,38.4,"Marques Brownlee (25% overlap, 2.2x affinity) | Cleo Abram (23% overlap, 2.3x affinity) | Jeff Delaney (Fireship) (25% overlap, 2.3x affinity)",100,14,48,0,Available,Q2 2026
creator-supercar-blondie,UCsupercar-blondie-alex,Alex Hirschi (Supercar Blondie),@supercarblondie,Automotive & Prestige,19800000,1450,4800000000,3400000,6.9,99,United Arab Emirates,English,Plateau,6.82,6.86,6.66,3005296,646652,95,36,0.032,115000,240000,60000,490000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United Arab Emirates,United States,38,United Arab Emirates,18,25-34,48,74,24,Ultra Luxury,38.4,"Marques Brownlee (35% overlap, 2.7x affinity) | Cleo Abram (23% overlap, 2.1x affinity) | Jeff Delaney (Fireship) (18% overlap, 2x affinity)",98.6,14,210,0,Limited Slots,Q3 2026
creator-doug-demuro,UCdoug-demuro-quirks-features,Doug DeMuro,@dougdemuro,Automotive & Prestige,4850000,1100,1900000000,1200000,7.4,98,United States,English,Stable High,7.26,7.3,7.06,1157035,237501,95,42,0.038,48000,110000,24000,215000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in United States,United States,76,Canada,12,25-34,54,89,10,Ultra Luxury,38.4,"Marques Brownlee (27% overlap, 2.1x affinity) | Cleo Abram (27% overlap, 2.3x affinity) | Jeff Delaney (Fireship) (34% overlap, 2.6x affinity)",99.4,10,130,0,Available,Q2 2026
creator-soren-design,UCsoren-minimal-ui-44,Soren Kjeldsen,@sorendesign,Design & Architecture,840000,190,92000000,380000,8.9,98,Denmark / Germany,English,Accelerating,9.23,8.69,8.53,436555,33656,93,56,0.054,22000,55000,12500,110000,99,93.5,16,25-34 Demographics with Ultra Luxury Purchasing Power in Denmark / Germany,Germany,28,United States,26,25-34,58,62,36,Ultra Luxury,38.4,"Marques Brownlee (16% overlap, 2x affinity) | Cleo Abram (14% overlap, 1.7x affinity) | Jeff Delaney (Fireship) (16% overlap, 1.7x affinity)",100,16,38,0,Available,Q2 2026
